Course Number,Course Name,Area,Econ,Tech,Intel,IS,Mil Ops,TSV,USNP,Other,Notes
SEST-6774,Navigating the Seams of Technology Operations & Policy,,,TECH,,,,,,,
SEST-6775,Business & Investment in Fragile High Risk and Conflict-Affected Markets,,,,,IS,,,,,
SEST-6776,Security & Economy in MENA,AREA,ECON,,,IS,,,,,
SEST-6777,Ramifications of Russia's War on Ukraine,AREA,IS,AREA,,,,,,,
SEST-6778,Geopolitical Risk,,,,,IS,,,,,
SEST-6781,Tech Alliances & the Quad,AREA,,,,IS,,,,,
SEST-6783,U.S. Intelligence: Blunders/Politics/and Reform,,,,INTEL,,,,,,
SEST-6784,Security Cooperation,,,,,IS,,,,,
SEST-6785,Iran: Power Politics & Prison,AREA,,,IS,,,,,,
SEST-7103,The Art of the Op-Ed,,,,INTEL,,,,,,
